رقم تعريف قائمة التشغيل,معرّف القناة,تاريخ الإنشاء ووقته,تاريخ آخر تعديل ووقته,العنوان,الوصف,مستوى العرض
PLcGQ-NPkeMlEh5ng5UyAzcvSIMvwov6aD,UCQiupx81V3b5Aqr1vLMXK1A,2019-08-28 19:05:02 UTC,2022-07-29 09:33:35 UTC,Watch later,,خاص

معرِّف الفيديو,تاريخ الإضافة ووقتها
YVcy6E7ZoRY,2022-07-29 09:33:35 UTC
6_oPW9bvMSY,2022-07-13 21:31:35 UTC
xECe153PgKI,2022-06-14 19:15:24 UTC
HDBr-xWGRto,2022-05-05 22:19:52 UTC
__yzat4d97I,2022-04-08 12:37:24 UTC
nHSsWkCjy68,2021-11-15 12:37:31 UTC
PyfN2VQTVlk,2021-07-04 06:38:27 UTC
F-qjuOXv0TU,2021-06-19 13:42:19 UTC
xOZKupPkoAY,2021-05-16 17:32:46 UTC
GMHYVYusCdE,2021-04-01 23:21:11 UTC
6X_KPqdFQhQ,2021-02-12 00:31:53 UTC
Ya-D_ZolN3M,2021-02-07 17:03:52 UTC
b4IYNnGYrSs,2020-12-08 11:10:48 UTC
Jf8H4Cm0xo0,2020-11-16 11:34:45 UTC
Y9aiNRskWlI,2020-11-04 14:33:34 UTC
o6S7YIO2vA0,2020-09-18 20:44:23 UTC
B--t7QA68Nk,2020-08-16 10:40:13 UTC
wgwTWCHf0x8,2020-08-02 22:59:48 UTC
7vityyJInGM,2020-07-30 15:41:59 UTC
JBOTJezFa7g,2020-06-28 20:35:21 UTC
ejzYSDVFDk4,2020-06-23 17:55:56 UTC
QY4LvXHZQNI,2020-04-19 12:42:05 UTC
AeL1VyxLxng,2020-04-17 10:08:08 UTC
6gzfp8TiZPA,2020-03-01 19:08:52 UTC
90zXnTz19ec,2020-02-21 15:31:22 UTC
gJSBjbf9VLU,2020-02-05 20:47:40 UTC
gXpJZhR7nf4,2020-01-05 13:18:52 UTC
wX53qKUOggs,2020-01-04 15:26:31 UTC
9PEZnB8LXFw,2019-12-27 19:49:42 UTC
HEHFmk8uEUM,2019-12-17 10:11:39 UTC
rWlGMnsJzdk,2019-12-14 12:02:59 UTC
JCQ7gY_5byQ,2019-12-11 23:05:08 UTC
WotKs4X6Kc4,2019-11-30 12:31:45 UTC
yKELAkuSZVU,2019-11-27 15:46:39 UTC
y_9IBTvSRTM,2019-11-19 11:53:57 UTC
_e2Fx5JmYOg,2019-11-01 01:00:34 UTC
8nIwXjpQ2nc,2019-10-30 21:02:34 UTC
pQREvHa68vk,2019-10-30 02:34:26 UTC
9aX9I5TiMFA,2019-10-29 21:08:46 UTC
iZ9R9m_cNuw,2019-10-26 17:30:02 UTC
VJfnW2gWSxQ,2019-10-21 18:01:29 UTC
BNV4F7Gwnws,2019-10-17 14:45:24 UTC
3fVJJtjxY98,2019-10-16 23:28:36 UTC
vZIDUaho54M,2019-10-09 16:24:41 UTC
J3UesvwWdlA,2019-09-28 20:01:27 UTC
4HyeiGvfp3s,2019-09-19 18:44:14 UTC
F2R20XHD8jY,2019-09-14 00:02:06 UTC
VNzaRqqR8_Q,2019-08-28 19:05:03 UTC

